title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe
Home 1,"28 Mar 2024, 09:39","28 Mar 2024, 10:14",,Arnold Press (Dumbbell),,,0,normal,18,10,,,
Pull,"29 Jun 2026, 16:35","29 Jun 2026, 17:17",,Treadmill,,,0,normal,0,,1.2,600,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Push Up,,,0,warmup,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Push Up,,,1,warmup,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Push Up,,,2,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Push Up,,,3,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Push Up,,,4,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Pike Pushup,,,0,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Pike Pushup,,,1,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Pike Pushup,,,2,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Floor Triceps Dip,,,0,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Floor Triceps Dip,,,1,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Floor Triceps Dip,,,2,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Crunch,,,0,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Crunch,,,1,normal,0,12,,,
Push,"25 Jun 2026, 01:06","25 Jun 2026, 01:41",,Crunch,,,2,normal,0,13,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Frog Jumps,,,0,warmup,0,12,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Frog Jumps,,,1,warmup,0,12,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Frog Jumps,,,2,normal,0,12,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Frog Jumps,,,3,normal,0,12,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Frog Jumps,,,4,normal,0,12,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Superman,,,0,warmup,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Superman,,,1,warmup,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Superman,,,2,normal,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Superman,,,3,normal,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Superman,,,4,normal,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Standing Calf Raise,,,0,normal,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Standing Calf Raise,,,1,normal,0,15,,,
Lower,"23 Jun 2026, 23:22","23 Jun 2026, 23:47",,Standing Calf Raise,,,2,normal,0,15,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Decline Push Up,,,0,warmup,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Decline Push Up,,,1,warmup,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Decline Push Up,,,2,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Decline Push Up,,,3,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Decline Push Up,,,4,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Superman,,,0,warmup,0,15,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Superman,,,1,normal,0,15,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Superman,,,2,normal,0,15,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Superman,,,3,normal,0,15,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Incline Push Ups,,,0,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Incline Push Ups,,,1,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Incline Push Ups,,,2,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Pike Pushup,,P,0,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Pike Pushup,,P,1,normal,0,12,,,
Upper,"21 Jun 2026, 23:36","22 Jun 2026, 00:23",,Pike Pushup,,P,2,normal,0,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Squat (Barbell),,,0,warmup,40,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Squat (Barbell),,,1,warmup,60,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Squat (Barbell),,,2,normal,110,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Squat (Barbell),,,3,normal,110,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Squat (Barbell),,,4,normal,110,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Romanian Deadlift (Barbell),,,0,warmup,40,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Romanian Deadlift (Barbell),,,1,normal,65,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Romanian Deadlift (Barbell),,,2,normal,65,12,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Romanian Deadlift (Barbell),,,3,normal,65,12,,,
Home 1,"28 Mar 2024, 09:39","28 Mar 2024, 10:14",,Arnold Press (Dumbbell),,,1,normal,18,10,,,
Home 1,"20 Mar 2024, 10:16","20 Mar 2024, 10:53",,Arnold Press (Dumbbell),,,0,normal,18,10,,,
Home 1,"20 Mar 2024, 10:16","20 Mar 2024, 10:53",,Arnold Press (Dumbbell),,,1,normal,18,10,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Decline Crunch (Weighted),,,0,normal,10,15,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Decline Crunch (Weighted),,,1,normal,10,15,,,
Legs,"18 Jun 2026, 16:35","18 Jun 2026, 17:16",,Decline Crunch (Weighted),,,2,normal,10,15,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Bent Over Row (Barbell),,"Cambiar agarre, frontal",0,warmup,40,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Bent Over Row (Barbell),,"Cambiar agarre, frontal",1,warmup,60,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Bent Over Row (Barbell),,"Cambiar agarre, frontal",2,normal,115,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Bent Over Row (Barbell),,"Cambiar agarre, frontal",3,normal,115,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Bent Over Row (Barbell),,"Cambiar agarre, frontal",4,normal,115,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Lat Pulldown (Cable),,,0,normal,80,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Lat Pulldown (Cable),,,1,normal,80,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Lat Pulldown (Cable),,,2,normal,80,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Seated Row (Machine),,Pecho a NIVEL 4,0,normal,70,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Seated Row (Machine),,Pecho a NIVEL 4,1,normal,70,12,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Seated Row (Machine),,Pecho a NIVEL 4,2,normal,70,12,,,
Home 1,"20 Mar 2024, 10:16","20 Mar 2024, 10:53",,Arnold Press (Dumbbell),,,2,normal,18,10,,,
Satélite,"12 Mar 2024, 09:37","12 Mar 2024, 10:09",,Arnold Press (Dumbbell),,,0,normal,18,9,,,
Satélite,"12 Mar 2024, 09:37","12 Mar 2024, 10:09",,Arnold Press (Dumbbell),,,1,normal,18,8,,,
Pull,"17 Jun 2026, 18:32","17 Jun 2026, 19:21",,Stair Machine (Steps),,Floors,0,normal,0,,,487,
Satélite,"12 Mar 2024, 09:37","12 Mar 2024, 10:09",,Arnold Press (Dumbbell),,,2,normal,18,8,,,
"Day 5 - Shoulders, Traps and Forearms","24 Jan 2024, 16:11","24 Jan 2024, 17:21",,Arnold Press (Dumbbell),,,0,normal,28,12,,,
"Day 5 - Shoulders, Traps and Forearms","24 Jan 2024, 16:11","24 Jan 2024, 17:21",,Arnold Press (Dumbbell),,,1,normal,28,12,,,
"Day 5 - Shoulders, Traps and Forearms","24 Jan 2024, 16:11","24 Jan 2024, 17:21",,Arnold Press (Dumbbell),,,2,normal,28,8,,,
"Hombros, core","12 Jan 2024, 17:48","12 Jan 2024, 18:22",,Arnold Press (Dumbbell),,,0,normal,28,10,,,
"Hombros, core","12 Jan 2024, 17:48","12 Jan 2024, 18:22",,Arnold Press (Dumbbell),,,1,normal,28,10,,,
"Hombros, core","12 Jan 2024, 17:48","12 Jan 2024, 18:22",,Arnold Press (Dumbbell),,,2,normal,28,10,,,
"Day 5 - Shoulders, Traps and Forearms","29 Dec 2023, 17:00","29 Dec 2023, 17:56",,Arnold Press (Dumbbell),,,0,normal,24,12,,,
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Skullcrusher (Barbell),,,0,normal,30,15,,,
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Skullcrusher (Barbell),,,1,normal,30,15,,,
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Skullcrusher (Barbell),,,2,normal,30,15,,,
Push,"15 Jun 2026, 17:41","15 Jun 2026, 18:32",,Crunch (Machine),,,0,normal,95,15,,,
