Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2024-01-31 15:14:00;Day 1 - Back & Biceps;Pull Up;2;0.0;kg;7.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Pull Up;3;0.0;kg;6.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Seated Cable Row - Bar Grip;1;200.0;kg;8.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Seated Cable Row - Bar Grip;2;200.0;kg;9.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Seated Cable Row - Bar Grip;3;200.0;kg;10.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Superman;1;0.0;kg;10.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Superman;2;0.0;kg;10.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Superman;3;0.0;kg;10.0;;;;0;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Plank;1;0.0;kg;;;;;60;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Side Plank;1;0.0;kg;;;;;20;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Side Plank;2;0.0;kg;;;;;20;;;1h 4m
2024-01-31 15:14:00;Day 1 - Back & Biceps;Ab Wheel;1;0.0;kg;7.0;;;;0;;;1h 4m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Bench Press (Barbell);1;120.0;kg;10.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Bench Press (Barbell);2;140.0;kg;10.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Bench Press (Barbell);3;140.0;kg;10.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Bench Press (Barbell);4;40.0;kg;20.0;;;;0;;;1h 12m
2025-12-15 16:18:00;Chest/biceps;Incline Bench Press (Dumbbell);1;36.0;kg;8.0;;;;0;Matado;;52m
2025-12-15 16:18:00;Chest/biceps;Incline Bench Press (Dumbbell);2;32.0;kg;10.0;;;;0;Matado;;52m
2025-12-15 16:18:00;Chest/biceps;Incline Bench Press (Dumbbell);3;32.0;kg;10.0;;;;0;Matado;;52m
2025-12-15 16:18:00;Chest/biceps;Incline Bench Press (Dumbbell);4;20.0;kg;10.0;;;;0;Matado;;52m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Chest Dip;1;0.0;kg;10.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Chest Dip;2;0.0;kg;10.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Chest Dip;3;0.0;kg;10.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Butterfly (Pec Deck);1;80.0;kg;15.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Butterfly (Pec Deck);2;120.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Butterfly (Pec Deck);3;100.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Butterfly (Pec Deck);4;60.0;kg;23.0;;;;0;;;1h 12m
2025-12-02 16:12:00;Women love;Incline Bench Press (Dumbbell);1;36.0;kg;8.0;;;;0;;;25m
2025-12-02 16:12:00;Women love;Incline Bench Press (Dumbbell);2;36.0;kg;10.0;;;;0;;;25m
2025-12-02 16:12:00;Women love;Incline Bench Press (Dumbbell);3;36.0;kg;10.0;;;;0;;;25m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Low Cable Fly Crossovers;1;40.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Low Cable Fly Crossovers;2;40.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Low Cable Fly Crossovers;3;40.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Cable Fly Crossovers;1;30.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Cable Fly Crossovers;2;30.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Cable Fly Crossovers;3;30.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Triceps Rope Pushdown;1;80.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Triceps Rope Pushdown;2;80.0;kg;12.0;;;;0;;;1h 12m
2024-01-30 17:16:00;Day 2 - Chest & Triceps;Triceps Rope Pushdown;3;80.0;kg;12.0;;;;0;;;1h 12m
2025-11-28 15:12:00;Push;Incline Bench Press (Dumbbell);1;32.0;kg;12.0;;;;0;Subr 18*8;;52m
2025-11-28 15:12:00;Push;Incline Bench Press (Dumbbell);2;32.0;kg;11.0;;;;0;Subr 18*8;;52m
2025-11-28 15:12:00;Push;Incline Bench Press (Dumbbell);3;32.0;kg;9.0;;;;0;Subr 18*8;;52m
2024-01-26 17:49:00;Planks;Plank;1;0.0;kg;;;;;74;;;12m
2024-01-26 17:49:00;Planks;Reverse Plank;1;0.0;kg;;;;;63;;;12m
2024-01-26 17:49:00;Planks;Side Plank;1;0.0;kg;;;;;60;;;12m
2024-01-26 17:49:00;Planks;Side Plank;2;0.0;kg;;;;;60;;;12m
2024-01-26 17:49:00;Planks;Push Up;1;0.0;kg;30.0;;;;0;;;12m
2024-01-24 16:11:00;Day 5 - Shoulders, Traps and Forearms;Seated Overhead Press (Barbell);1;40.0;kg;14.0;;;;0;;;1h 10m
2024-01-24 16:11:00;Day 5 - Shoulders, Traps and Forearms;Seated Overhead Press (Barbell);2;40.0;kg;14.0;;;;0;;;1h 10m
